10029,UNKNOWN,TX
20024,WASHINGTON,DC
21206,BALTIMORE,MD
33966,FORT MYERS,FL
43560,SYLVANIA,OH
47303,MUNCIE,IN
60657,CHICAGO,IL
68114,OMAHA,NE
70118,NEW ORLEANS,LA
70714,BAKER,LA
70807,BATON ROUGE,LA
74702,DURANT,OK
75001,ADDISON,TX
75002,ALLEN,TX
75006,CARROLLTON,TX
75007,CARROLLTON,TX
75019,COPPELL,TX
75022,FLOWER MOUND,TX
75023,PLANO,TX
75024,PLANO,TX
75028,FLOWER MOUND,TX
75034,FRISCO,TX
75038,IRVING,TX
75039,IRVING,TX
75040,GARLAND,TX
75041,GARLAND,TX
75043,GARLAND,TX
75050,GRAND PRAIRIE,TX
75052,GRAND PRAIRIE,TX
75056,THE COLONY,TX
75058,GUNTER,TX
75067,LEWISVILLE,TX
75068,LITTLE ELM,TX
75070,MCKINNEY,TX
75071,MCKINNEY,TX
75074,PLANO,TX
75075,PLANO,TX
75077,LEWISVILLE,TX
75081,RICHARDSON,TX
75082,RICHARDSON,TX
75093,PLANO,TX
75098,WYLIE,TX
75103,CANTON,TX
75104,CEDAR HILL,TX
75115,DESOTO,TX
75142,KAUFMAN,TX
75150,MESQUITE,TX
75154,RED OAK,TX
75160,TERRELL,TX
75181,MESQUITE,TX
75204,DALLAS,TX
75207,DALLAS,TX
75209,DALLAS,TX
75214,DALLAS,TX
75215,DALLAS,TX
75216,DALLAS,TX
75219,DALLAS,TX
75230,DALLAS,TX
75238,DALLAS,TX
75243,DALLAS,TX
75244,DALLAS,TX
75248,DALLAS,TX
75252,DALLAS,TX
75254,DALLAS,TX
75287,DALLAS,TX
75402,GREENVILLE,TX
75418,BONHAM,TX
75424,BLUE RIDGE,TX
75440,EMORY,TX
75452,LEONARD,TX
75495,VAN ALSTYNE,TX
75574,SIMMS,TX
75652,HENDERSON,TX
75701,TYLER,TX
75757,BULLARD,TX
75758,CHANDLER,TX
75766,JACKSONVILLE,TX
75771,LINDALE,TX
75789,TROUP,TX
75791,WHITEHOUSE,TX
75904,LUFKIN,TX
75939,CORRIGAN,TX
76001,ARLINGTON,TX
76002,ARLINGTON,TX
76006,ARLINGTON,TX
76012,ARLINGTON,TX
76014,ARLINGTON,TX
76015,ARLINGTON,TX
76016,ARLINGTON,TX
76018,ARLINGTON,TX
76021,BEDFORD,TX
76033,CLEBURNE,TX
76034,COLLEYVILLE,TX
76039,EULESS,TX
76063,MANSFIELD,TX
76065,MIDLOTHIAN,TX
76092,SOUTHLAKE,TX
76107,FORT WORTH,TX
76116,FORT WORTH,TX
76118,FORT WORTH,TX
76131,FORT WORTH,TX
76132,FORT WORTH,TX
76133,FORT WORTH,TX
76135,FORT WORTH,TX
76137,FORT WORTH,TX
76179,FORT WORTH,TX
76180,NORTH RICHLAND HILLS,TX
76182,NORTH RICHLAND HILLS,TX
76208,DENTON,TX
76234,DECATUR,TX
76250,LINDSAY,TX
76301,WICHITA FALLS,TX
76308,WICHITA FALLS,TX
76384,VERNON,TX
76430,ALBANY,TX
76437,CISCO,TX
76442,COMANCHE,TX
76443,CROSS PLAINS,TX
76446,DUBLIN,TX
76448,EASTLAND,TX
76504,TEMPLE,TX
76513,BELTON,TX
76522,COPPERAS COVE,TX
76537,JARRELL,TX
76542,KILLEEN,TX
76548,HARKER HEIGHTS,TX
76549,KILLEEN,TX
76550,LAMPASAS,TX
76557,MOODY,TX
76574,TAYLOR,TX
76579,TROY,TX
76624,AXTELL,TX
76633,CHINA SPRING,TX
76640,ELM MOTT,TX
76645,HILLSBORO,TX
76682,RIESEL,TX
76692,WHITNEY,TX
76705,WACO,TX
76706,WACO,TX
76708,WACO,TX
76712,WOODWAY,TX
76801,BROWNWOOD,TX
76823,BANGS,TX
76834,COLEMAN,TX
76877,SAN SABA,TX
76901,SAN ANGELO,TX
76902,SAN ANGELO,TX
76903,SAN ANGELO,TX
76904,SAN ANGELO,TX
76905,SAN ANGELO,TX
76933,BRONTE,TX
76943,OZONA,TX
77005,HOUSTON,TX
77006,HOUSTON,TX
77009,HOUSTON,TX
77017,HOUSTON,TX
77019,HOUSTON,TX
77021,HOUSTON,TX
77027,HOUSTON,TX
77028,HOUSTON,TX
77034,HOUSTON,TX
77036,HOUSTON,TX
77042,HOUSTON,TX
77045,HOUSTON,TX
77047,HOUSTON,TX
77048,HOUSTON,TX
77049,HOUSTON,TX
77053,HOUSTON,TX
77054,HOUSTON,TX
77055,HOUSTON,TX
77056,HOUSTON,TX
77057,HOUSTON,TX
77063,HOUSTON,TX
77065,HOUSTON,TX
77066,HOUSTON,TX
77069,HOUSTON,TX
